panel,run,case,implementation,s1,s2,s3,s4,alpha,p00,p01,p10,p11,theory_u1,theory_u2,measured_u1,measured_u2,common_payoff,payoff_asymmetry,squared_distance_to_theory
A,88,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.5,0.48046875,0.0126953125,0.8,0.8,0.782177734375,0.789990234375,0.786083984375,-0.0078125,0.0004178285598754883
A,89,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0048828125,0.5126953125,0.4736328125,0.0087890625,0.8,0.8,0.782470703125,0.798095703125,0.790283203125,-0.015625,0.00031090259552002126
A,90,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.4755859375,0.5078125,0.0068359375,0.8,0.8,0.79560546875,0.78271484375,0.78916015625,0.012890625000000044,0.00031808853149414216
A,91,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0126953125,0.4970703125,0.484375,0.005859375,0.8,0.8,0.785791015625,0.7908691406249999,0.788330078125,-0.005078124999999933,0.00028526782989502387
A,92,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.4560546875,0.5283203125,0.0068359375,0.8,0.8,0.804150390625,0.7752441406249999,0.789697265625,0.028906250000000133,0.0006300783157348698
A,93,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.4921875,0.48828125,0.0126953125,0.8,0.8,0.785302734375,0.786865234375,0.786083984375,-0.0015625000000000222,0.0003885316848754914
A,94,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.46875,0.51171875,0.0087890625,0.8,0.8,0.795654296875,0.778466796875,0.787060546875,0.017187500000000022,0.0004825639724731478
A,95,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.4775390625,0.5107421875,0.005859375,0.8,0.8,0.79873046875,0.78544921875,0.7920898437499999,0.013281250000000022,0.00021333694458008088
A,96,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0048828125,0.4736328125,0.515625,0.005859375,0.8,0.8,0.801025390625,0.784228515625,0.792626953125,0.016796875000000044,0.00024979114532470975
A,97,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.513671875,0.4658203125,0.0107421875,0.8,0.8,0.7764648437499999,0.79560546875,0.78603515625,-0.019140625000000133,0.0005732154846191469
A,98,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.50390625,0.4765625,0.009765625,0.8,0.8,0.7813476562499999,0.79228515625,0.7868164062499999,-0.010937500000000044,0.0004074287414550845
A,99,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.5107421875,0.4775390625,0.0029296875,0.8,0.8,0.786181640625,0.799462890625,0.7928222656249999,-0.013281250000000022,0.0001912355422973658
A,100,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.4873046875,0.494140625,0.009765625,0.8,0.8,0.788720703125,0.7859863281249999,0.787353515625,0.0027343750000000666,0.00032360553741455603
