example,theory_u1,theory_u2,measured_mean_u1,measured_mean_u2,run_sd_u1,run_sd_u2,bias_u1,bias_u2,rmse_2d
"Case 1a (BoS), pure",0.8,0.8,0.7894033203125,0.7886962890625,0.006642633742878593,0.006298491660371846,-0.010596679687499999,-0.011303710937500044,0.0179727884812975
"Case 3a(i) (PD), pure",0.5,0.5,0.5004755859374999,0.4987080078124999,0.01534766257553252,0.015025937649142607,0.0004755859374998561,-0.0012919921875000906,0.021415220733794652
"Case 3a(ii) (PD), mixed",0.625,0.625,0.623690185546875,0.626824951171875,0.0027916687072960388,0.0024545872457198987,-0.0013098144531249467,0.0018249511718749778,0.0043273882738100065
