example,common_mean,common_sd,common_ci95_low,common_ci95_high,asymmetry_mean,asymmetry_sd,asymmetry_ci95_low,asymmetry_ci95_high
"Case 1a (BoS), pure",0.7890498046875,0.0022713481880439978,0.7885991199297328,0.7895004894452672,0.0007070312500000065,0.012122502633956523,-0.0016983362721947465,0.0031123987721947593
"Case 3a(i) (PD), pure",0.4995917968749999,0.001023463402787332,0.499388719531686,0.49979487421831376,0.0017675781250000005,0.030306256584891274,-0.004245840680486874,0.007780996930486875
"Case 3a(ii) (PD), mixed",0.625257568359375,0.0015112610651994624,0.6249577013769908,0.6255574353417591,-0.003134765625,0.004301300432141682,-0.003988236948132151,-0.002281294301867849
